;race_idx;race_name;ALO;BAR;BAU;BRU;BUT;COU;DMA;FIS;HEI;KLI;MAS;MON;PAN;PTO;RAI;SAT;MSC;RSC;TRU;WEB
0;1;AUS;5;2;17;20;4;12;13;14;15;19;11;3;18;16;10;7;1;8;9;6
1;2;MYS;19;3;17;16;6;9;10;12;15;13;11;4;14;18;5;20;1;7;8;2
2;3;BHR;17;2;19;18;6;10;9;11;15;12;13;3;8;16;20;5;1;4;7;14
3;4;SMR;6;4;18;17;1;11;10;20;16;14;12;3;13;15;19;7;2;5;9;8
4;5;ESP;8;5;20;18;14;10;11;12;15;16;17;2;7;19;13;3;1;6;4;9
5;6;MCO;4;7;19;20;3;9;15;11;17;14;16;10;13;18;6;8;5;2;1;12
6;7;EUR;6;7;18;17;5;20;11;19;13;12;16;8;10;15;4;2;1;9;3;14
7;8;CAN;5;7;18;19;2;9;12;11;15;10;20;4;13;-;8;17;6;1;3;14
8;9;USA;9;1;19;18;4;12;11;14;16;13;15;5;8;17;7;3;2;6;20;10
9;10;FRA;1;10;20;19;4;3;11;15;17;13;16;6;14;18;9;7;2;-;5;12
10;11;GBR;6;2;19;18;3;7;14;20;17;15;11;8;12;16;1;9;4;-;5;10
11;12;DEU;6;8;20;19;3;5;15;14;18;13;16;2;10;17;4;9;1;-;7;12
12;13;HUN;5;2;18;19;4;12;-;8;16;14;20;7;13;17;10;3;1;-;9;11
13;14;BEL;3;6;18;17;12;4;-;5;16;13;8;11;9;19;10;15;2;-;1;7
14;15;ITA;4;1;20;19;6;10;-;15;17;14;16;2;13;18;7;5;3;-;9;12
15;16;CHN;6;1;18;20;3;10;-;7;15;16;4;11;8;-;2;9;19;5;-;12
16;17;JPN;11;15;19;18;5;8;-;7;16;14;20;13;10;-;12;4;1;2;6;3
17;18;BRA;9;1;19;20;5;13;-;11;17;16;4;2;-;-;3;6;8;7;10;12
