;race_idx;race_name;ALG;ALO;BAR;BUE;BUT;DAM;DRE;GLO;HAM;HEI;KOB;KOV;LIU;MAL;MAS;PER;PET;RIC;ROS;MSC;SUT;TRU;VET;WEB
0;1;AUS;12;5;17;10;4;22;14;21;2;18;9;19;-;15;8;13;6;-;7;11;16;20;1;3
1;2;MYS;13;5;15;12;4;22;14;21;2;6;10;19;23;18;7;16;8;-;9;11;17;20;1;3
2;3;CHN;7;5;15;9;2;21;8;22;3;16;13;19;23;17;6;12;10;-;4;14;11;20;1;18
3;4;TUR;17;5;11;16;6;23;13;21;4;9;24;18;20;14;10;15;7;-;3;8;12;19;1;2
4;5;ESP;13;4;19;11;5;23;16;20;3;24;14;15;21;9;8;12;6;-;7;10;17;18;2;1
5;6;MCO;19;4;11;16;2;21;13;20;9;15;12;17;23;8;6;-;10;-;7;5;14;18;1;3
6;7;CAN;18;2;16;15;7;24;11;22;5;9;13;20;21;12;3;-;10;-;6;8;14;19;1;4
7;8;EUR;18;4;13;17;6;23;12;21;3;9;14;19;22;15;5;16;11;-;7;8;10;20;1;2
8;9;GBR;18;3;15;19;5;22;6;20;10;16;8;17;23;7;4;12;14;24;9;13;11;21;2;1
9;10;DEU;16;4;14;24;7;21;12;19;2;11;17;18;23;13;5;15;9;22;6;10;8;-;3;1
10;11;HUN;16;5;15;23;3;24;11;20;2;14;13;18;21;17;4;10;12;22;7;9;8;19;1;6
11;12;BEL;6;8;14;11;13;20;17;19;2;-;12;16;22;21;4;9;10;23;5;24;15;18;1;3
12;13;ITA;18;4;13;16;3;22;11;21;2;-;17;20;24;14;6;15;7;23;9;8;12;19;1;5
13;14;SGP;16;5;12;14;3;22;10;21;4;-;17;19;24;13;6;11;18;23;7;8;9;20;1;2
14;15;JPN;16;5;13;15;2;20;12;21;3;-;7;18;24;14;4;17;10;22;23;8;11;19;1;6
15;16;KOR;11;6;18;13;3;22;9;21;1;-;14;19;23;16;5;17;8;24;7;12;10;20;2;4
16;17;IND;10;3;15;9;4;21;12;22;5;-;17;18;-;13;6;20;16;23;7;11;8;19;1;2
17;18;ABD;15;5;24;13;3;21;10;19;2;-;16;17;22;23;6;11;12;20;7;8;9;18;1;4
18;19;BRA;13;5;12;14;3;23;11;24;4;-;16;19;21;18;7;17;15;22;6;10;8;20;1;2
